"ID","Country","Code","Subregion"
140,"New Zealand","NZL","Australia and New Zealand"
141,"Nicaragua","NIC","Latin America and the Caribbean"
142,"Niger","NER","Sub-Saharan Africa"
143,"Nigeria","NGA","Sub-Saharan Africa"
144,"North Korea","PRK","Eastern Asia"
145,"North Macedonia","MKD","Southern Europe"
146,"Northern Mariana Islands","MNP","Micronesia"
147,"Norway","NOR","Northern Europe"
148,"Oman","OMN","Western Asia"
149,"Pakistan","PAK","Southern Asia"
150,"Palau","PLW","Micronesia"
151,"Palestinian Territories","PSE","Western Asia"
152,"Panama","PAN","Latin America and the Caribbean"
153,"Papua New Guinea","PNG","Melanesia"
154,"Paraguay","PRY","Latin America and the Caribbean"
155,"Peru","PER","Latin America and the Caribbean"
156,"Philippines","PHL","South-eastern Asia"
157,"Poland","POL","Eastern Europe"
158,"Portugal","PRT","Southern Europe"
159,"Puerto Rico","PRI","Latin America and the Caribbean"
160,"Qatar","QAT","Western Asia"
161,"Romania","ROU","Eastern Europe"
162,"Russia","RUS","Eastern Europe"
163,"Rwanda","RWA","Sub-Saharan Africa"
164,"Saint Martin (French part)","MAF","Latin America and the Caribbean"
165,"Samoa","WSM","Polynesia"
166,"San Marino","SMR","Southern Europe"
167,"Saudi Arabia","SAU","Western Asia"
168,"Senegal","SEN","Sub-Saharan Africa"
169,"Serbia","SRB","Southern Europe"
170,"Seychelles","SYC","Sub-Saharan Africa"
171,"Sierra Leone","SLE","Sub-Saharan Africa"
172,"Singapore","SGP","South-eastern Asia"
173,"Sint Maarten","SXM","Latin America and the Caribbean"
174,"Slovakia","SVK","Eastern Europe"
175,"Slovenia","SVN","Southern Europe"
176,"Solomon Islands","SLB","Melanesia"
177,"Somalia","SOM","Sub-Saharan Africa"
178,"South Africa","ZAF","Sub-Saharan Africa"
179,"South Korea","KOR","Eastern Asia"
180,"South Sudan","SSD","Sub-Saharan Africa"
181,"Spain","ESP","Southern Europe"
182,"Sri Lanka","LKA","Southern Asia"
183,"St. Kitts & Nevis","KNA","Latin America and the Caribbean"
184,"St. Lucia","LCA","Latin America and the Caribbean"
185,"St. Vincent & Grenadines","VCT","Latin America and the Caribbean"
186,"Sudan","SDN","Northern Africa"
187,"Suriname","SUR","Latin America and the Caribbean"
188,"Sweden","SWE","Northern Europe"
189,"Switzerland","CHE","Western Europe"
190,"Syria","SYR","Western Asia"
191,"São Tomé & Príncipe","STP","Sub-Saharan Africa"
